"TITLE","AUTHORS","YEAR","MAIN_LINK","DIRECT_LINK"
"Cross-lingual alignment and completion of Wikipedia templates","G Bouma, S Duarte, Z Islam - …  the Information Need of Multilingual  …, 2009 - dl.acm.org",2009,"http://dl.acm.org/citation.cfm?id=1572437","http://www.science.smith.edu/classwiki/images/d/d8/Cross_lingual_alignment_wikipedia.pdf"
"Cross-language article linking with different knowledge bases using bilingual topic model and translation features","YC Wang, CK Wu, RTH Tsai - Knowledge-Based Systems, 2016 - Elsevier",2016,"http://www.sciencedirect.com/science/article/pii/S0950705116302775",NA
"Global connectivity and multilinguals in the Twitter network","SA Hale - Proceedings of the SIGCHI Conference on Human  …, 2014 - dl.acm.org",2014,"http://dl.acm.org/citation.cfm?id=2557203","https://ora.ox.ac.uk/objects/uuid:25844986-c78d-4eaa-9241-06b7cfc97088/datastreams/ATTACHMENT01"
"Multilingual summarization approaches","K Sarkar - …  Linguistics: Concepts, Methodologies, Tools, and  …, 2014 - books.google.com",2014,"http://books.google.com/books?hl=en&lr=&id=EhOXBQAAQBAJ&oi=fnd&pg=PA158&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=vMfa01e6J7&sig=_8OQvot58kWJIPmLxxZxbH0JhWY","https://pdfs.semanticscholar.org/6d66/cae1c273b0a8e3cdead472642e21a804ecd7.pdf"
"iPlag: intelligent plagiarism reasoner in scientific publications","S Alzahrani, N Salim, A Abraham… - …  (WICT), 2011 World  …, 2011 - ieeexplore.ieee.org",2011,"http://ieeexplore.ieee.org/abstract/document/6141191/","http://sip04.softcomputing.net/wict11_1.pdf"
"Information Retrieval in Biomedicine: Natural Language Processing for Knowledge Integration: Natural Language Processing for Knowledge Integration","V Prince - 2009 - books.google.com",2009,"http://books.google.com/books?hl=en&lr=&id=zh_c815-fa8C&oi=fnd&pg=PP1&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=uaqE06KRJU&sig=QPtdqyXdaUSC6__EZhR5qnXkPN0",NA
"Panlingual lexical translation via probabilistic inference","S Soderland, O Etzioni, DS Weld, K Reiter, M Skinner… - Artificial Intelligence, 2010 - Elsevier",2010,"http://www.sciencedirect.com/science/article/pii/S0004370210000561","http://www.sciencedirect.com/science/article/pii/S0004370210000561"
"Cross-lingual sentiment analysis with machine translation","E Demirtas - 2013 - pure.tue.nl",2013,"https://pure.tue.nl/ws/files/46951131/761617-1.pdf","https://pure.tue.nl/ws/files/46951131/761617-1.pdf"
"Understanding informal communication in multilingual contexts","CW Yuan, LD Setlock, D Cosley… - Proceedings of the 2013  …, 2013 - dl.acm.org",2013,"http://dl.acm.org/citation.cfm?id=2441880","http://www.cs.cornell.edu/~danco/research/papers/yuan-informal-multilingual-cscw2013.pdf"
"RDF Data Interlinking: evaluation of Cross-lingual Methods","T Lesnikova - 2016 - tel.archives-ouvertes.fr",2016,"https://tel.archives-ouvertes.fr/tel-01366030/","https://tel.archives-ouvertes.fr/tel-01366030/document"
"Detecting vandalism on Wikipedia across multiple languages","KND Tran - 2015 - openresearch-repository.anu.edu.au",2015,"https://openresearch-repository.anu.edu.au/handle/1885/14453","https://openresearch-repository.anu.edu.au/bitstream/1885/14453/5/Tran%20Thesis%202015.pdf"
"Multilingual information retrieval: From research to practice","C Peters, M Braschler, P Clough - 2012 - books.google.com",2012,"http://books.google.com/books?hl=en&lr=&id=_K9fAlcOReEC&oi=fnd&pg=PR7&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=DGDymsPetF&sig=dftRwaJKzgsgP9THmrS9twXJ61E",NA
"Translation at inter-governmental organizations the set of skills and knowledge required and the implications for recruitment testing","AP Lafeber - 2012 - tdx.cat",2012,"http://www.tdx.cat/handle/10803/83500","http://www.tdx.cat/bitstream/handle/10803/83500/lafeber?sequence=1"
"Digesting Multilingual Reader Comments via Latent Discussion Topics with Commonality and Specificity","B Shi, W Lam, L Bing, Y Xu - Proceedings of the 25th ACM International  …, 2016 - dl.acm.org",2016,"http://dl.acm.org/citation.cfm?id=2983683",NA
"Finding answers to questions, in text collections or web, in open domain or specialty domains","B Grau - Next Generation Search Engines: Advanced Models for …, 2012 - books.google.com",2012,"http://books.google.com/books?hl=en&lr=&id=M6KeBQAAQBAJ&oi=fnd&pg=PA344&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=N8mQBWmXSM&sig=470RgyA28LjG_fogoq6QoDFIUQ8",NA
"Retrieval approach to extract opinions about people from resource scarce language News articles","A Mogadala, V Varma - …  Workshop on Issues of Sentiment Discovery and …, 2012 - dl.acm.org",2012,"http://dl.acm.org/citation.cfm?id=2346680","http://web2py.iiit.ac.in/research_centres/publications/download/inproceedings.pdf.9a4dbfe9e6810526.43616d65726152656164795f574953444f4d2e706466.pdf"
"Towards the Global SentiWordNet.","A Das, S Bandyopadhyay - PACLIC, 2010 - aclweb.org",2010,"https://www.aclweb.org/anthology/Y/Y10/Y10-1092.pdf","https://www.aclweb.org/anthology/Y/Y10/Y10-1092.pdf"
"A hybrid technique for English-Chinese cross language information retrieval","D Zhou, M Truran, T Brailsford, H Ashman - …  on Asian Language  …, 2008 - dl.acm.org",2008,"http://dl.acm.org/citation.cfm?id=1362784","http://kpnm.hnust.cn/web/zd/pdf/TALIP.pdf"
"Testing target text fluency: machine learning approach to detecting syntactic translationese in English-Russian translation","A Kutuzov, M Kunilovskaya - academia.edu",NA,"http://www.academia.edu/download/47000363/cohesion.pdf","http://www.academia.edu/download/47000363/cohesion.pdf"
"Issues and Challenges in Building Multilingual Information Access Systems","V Varma, A Mogadala - …  Applications of Natural Language  …, 2012 - books.google.com",2012,"http://books.google.com/books?hl=en&lr=&id=3IWjcEzq2xAC&oi=fnd&pg=PA171&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=0NrDrkNVHn&sig=tO0n5NkfPgLRGzAzbcML456jXWo",NA
"Multilingual statistical news summarization","M Kabadjov, J Steinberger, R Steinberger - Multi-source, Multilingual  …, 2013 - Springer",2013,"http://link.springer.com/chapter/10.1007/978-3-642-28569-1_11",NA
"Rapid detection of similar peer-reviewed scientific papers via constant number of randomized fingerprints","Y HaCohen-Kerner, A Tayeb - Information Processing & Management, 2017 - Elsevier",2017,"http://www.sciencedirect.com/science/article/pii/S0306457316302254",NA
"Multilingual Information Access","V Peinado, ,2012,"http://books.google.com/books?hl=en&lr=&id=3IWjcEzq2xAC&oi=fnd&pg=PA203&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=0NrDrkNWDo&sig=V1Zwl3Lz4hfOSfAogdApUDKCaRU",NA
"New formats and interfaces for multi-document news summarization and its evaluation","B Berendt, M Last, I Subašić… - Innovative Document  …, 2014 - books.google.com",2014,"http://books.google.com/books?hl=en&lr=&id=4PWWBQAAQBAJ&oi=fnd&pg=PA231&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=_uGbrESwcU&sig=OqfXShjjRnVEJUo2noQi7nEaS3A","https://lirias.kuleuven.be/bitstream/123456789/423917/1/berendt_last_subasic_verbeke_2013_withbib.pdf"
"Polylingual topic models","D Mimno, HM Wallach, J Naradowsky… - …  in Natural Language  …, 2009 - dl.acm.org",2009,"http://dl.acm.org/citation.cfm?id=1699627","http://www.aclweb.org/old_anthology/D/D09/D09-1.pdf#page=918"
"Theory and applications of similarity detection techniques","B Zaka - 2009 - iicm.edu",2009,"http://www.iicm.edu/thesis/bilal_dissertation.pdf","http://www.iicm.edu/thesis/bilal_dissertation.pdf"
"Multilingual document mining and navigation using self-organizing maps","HC Yang, HW Hsiao, CH Lee - Information Processing & Management, 2011 - Elsevier",2011,"http://www.sciencedirect.com/science/article/pii/S0306457309001423","http://ir.nuk.edu.tw:8080/ir/bitstream/310360000Q/10132/2/ipm2009.pdf"
"Epistemic action and language: a cross-linguistic study","W King - 2008 - open.uct.ac.za",2008,"http://open.uct.ac.za/handle/11427/10641","http://open.uct.ac.za/bitstream/handle/11427/10641/thesis_hum_2008_king_w.pdf?sequence=1"
"Multilingual native language identification","S Malmasi, M Dras - Natural Language Engineering, 2015 - cambridge.org",2015,"https://www.cambridge.org/core/journals/natural-language-engineering/article/multilingual-native-language-identification/9A67BA23C7171731D1D5B659F0F52C2A","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9A67BA23C7171731D1D5B659F0F52C2A/S1351324915000406a.pdf/div-class-title-multilingual-native-language-identification-div.pdf"
"LabelTranslator: A System for Localizing Ontologies in Collaborative Settings","M Espinozaa, A Gómez-Péreza, E Menab - semantic-web-journal.org",NA,"http://semantic-web-journal.org/sites/default/files/swj93.pdf","http://semantic-web-journal.org/sites/default/files/swj93.pdf"
"Vocabulary learning strategies and foreign language acquisition","VP Takač - 2008 - books.google.com",2008,"http://books.google.com/books?hl=en&lr=&id=MEmIm7Uhc20C&oi=fnd&pg=PA1&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=e15_VuGD8J&sig=tkKm-Oaa6TzgfvoyKTzP90rfyAw",NA
"An introduction to forensic linguistics: Language in evidence","M Coulthard, A Johnson, D Wright - 2016 - books.google.com",2016,"http://books.google.com/books?hl=en&lr=&id=b3i3DAAAQBAJ&oi=fnd&pg=PP1&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=-dOC70I-6o&sig=JzcZB058CZW2ILlClPkkDgU-jaI","http://pasca.uns.ac.id/s3linguistik/wp-content/uploads/sites/44/2016/10/Malcolm_Coulthard__Alison_Johnson.pdf"
"AFramework FOR PLAGIARISM DETECTION IN ARABIC DOCUMENTS","IH Khan, MA Siddiqui, K Mansoor - researchgate.net",NA,"https://www.researchgate.net/profile/Sundarapandian_Vaidyanathan/publication/271286167_Proceedings_of_the_Fifth_International_Conference_on_Computer_Science_Engineering_and_Applications_CCSEA-2015/links/54c97c620cf298fd2625f495.pdf","https://www.researchgate.net/profile/Sundarapandian_Vaidyanathan/publication/271286167_Proceedings_of_the_Fifth_International_Conference_on_Computer_Science_Engineering_and_Applications_CCSEA-2015/links/54c97c620cf298fd2625f495.pdf"
"Machine Translationness: a Concept for Machine Translation Evaluation and Detection","J Mor,2015,"http://openaccess.uoc.edu/webapps/o2/handle/10609/43781","http://openaccess.uoc.edu/webapps/o2/bitstream/10609/43781/1/TesiJMORE.pdf"
"Liage de donnees RDF: Evaluation d'approches interlingues","L Besacier - 2016 - inrialpes.fr",2016,"ftp://ftp.inrialpes.fr/pub/exmo/thesis/thesis-lesnikova.pdf","ftp://ftp.inrialpes.fr/pub/exmo/thesis/thesis-lesnikova.pdf"
"Source Retrieval for Plagiarism Detection","Š Suchomel, M Brandejs - Journal of Advances in Information Technology, 2015 - jait.us",2015,"http://www.jait.us/uploadfile/2015/0512/20150512103428676.pdf","http://www.jait.us/uploadfile/2015/0512/20150512103428676.pdf"
"Multilingual natural language processing applications: from theory to practice","D Bikel, I Zitouni - 2012 - books.google.com",2012,"http://books.google.com/books?hl=en&lr=&id=-eHztm8JRxwC&oi=fnd&pg=PT23&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=cSK4SpHWJK&sig=tf_UTkE7ZbqngJOAQsJ3O7ZEvIw",NA
"Crossings: Language and ethnicity among adolescents","B Rampton - 2014 - books.google.com",2014,"http://books.google.com/books?hl=en&lr=&id=fIJ9AwAAQBAJ&oi=fnd&pg=PP1&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=RM5_AAgEUh&sig=islBZDZwK-iUzcXpWWZApE3hCq0",NA
"Corpora for computational linguistics","C Orasan, R Evans, L Hasler… - …  of English Language,  …, 2008 - periodicos.ufsc.br",2008,"https://periodicos.ufsc.br/index.php/desterro/article/view/8079","https://periodicos.ufsc.br/index.php/desterro/article/download/8079/7460"
"Translation-oriented terminology management and ICTs: present and future","C Vargas-Sierra - Interdisciplinarity and languages: Current Issues in …, 2011 - academia.edu",2011,"http://www.academia.edu/download/33111057/translation-oriented-terminology-management-and-icts-present-and-future.pdf","http://www.academia.edu/download/33111057/translation-oriented-terminology-management-and-icts-present-and-future.pdf"
"…  ethnocentric perspectives in language description?–New World Missionary linguists and WILHELM VON HUMBOLDT and their studies of Amer-indian languages","K ZIMMERMANN - Linguistik im Nordwesten: Beitr,2010,"http://books.google.com/books?hl=en&lr=&id=85NKLjhLIL0C&oi=fnd&pg=PA29&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=RSumpI6kH8&sig=dj27X_14mq8Aa-zF81Y7b3wzi_Y",NA
"Corpus Linguistics for Translation and Contrastive Studies: a guide for research","M Mikhailov, R Cooper - 2016 - books.google.com",2016,"http://books.google.com/books?hl=en&lr=&id=1PgyDAAAQBAJ&oi=fnd&pg=PP1&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=i5ZcDBMKAg&sig=K1LJpHuGSrJNb23rSVOiBFgL3-Y",NA
"Perceptual comparison of source-code plagiarism within students from UK, China, and South Cyprus higher education institutions","G Cosma, M Joy, J Sinclair, M Andreou… - ACM Transactions on  …, 2017 - dl.acm.org",2017,"http://dl.acm.org/citation.cfm?id=3059871",NA
"Problems of authorship identification of the national language electronic discourse","A Venčkauskas, R Damaševičius… - …  on Information and  …, 2015 - Springer",2015,"http://link.springer.com/chapter/10.1007/978-3-319-24770-0_36",NA
"Doctoral Dissertations and Masters Theses in Japanese Language, Linguistics, and Literature","FJ Shulman - Japanese Language and Literature, 2009 - JSTOR",2009,"http://www.jstor.org/stable/20720565",NA
"MAIN: Multilingual assessment instrument for narratives","N Gagarina, D Klop, S Kunnari, K Tantele, T Välimaa… - 2012 - researchgate.net",2012,"https://www.researchgate.net/profile/Ingrida_Balciuniene/publication/264746940_Gagarina_N_Klop_D_Kunnari_S_Tantele_K_Valimaa_T_Balciuniene_I_Walters_J_2012_Part_I_MAIN_Multilingual_Assessment_Instrument_for_Narratives_ZAS_Papers_in_Linguistics_56_1-139/links/54b51e080cf2318f0f972186.pdf","https://www.researchgate.net/profile/Ingrida_Balciuniene/publication/264746940_Gagarina_N_Klop_D_Kunnari_S_Tantele_K_Valimaa_T_Balciuniene_I_Walters_J_2012_Part_I_MAIN_Multilingual_Assessment_Instrument_for_Narratives_ZAS_Papers_in_Linguistics_56_1-139/links/54b51e080cf2318f0f972186.pdf"
"Parallel Corpora: The Case of InterCorp, a multilingual corpus","F Čermák - Proceedings of the Corpus Linguistics Conference  …, 2009 - ucrel.lancs.ac.uk",2009,"http://ucrel.lancs.ac.uk/publications/CL2009/19_FullPaper.doc","http://ucrel.lancs.ac.uk/publications/CL2009/19_FullPaper.doc"
"Natural language processing for cultural heritage domains","C Sporleder - Language and Linguistics Compass, 2010 - Wiley Online Library",2010,"http://onlinelibrary.wiley.com/doi/10.1111/j.1749-818X.2010.00230.x/full","http://www.coli.uni-saarland.de/courses/tm-hist11/slides/compass.pdf"
"Exploring Entity Propagation Across Languages in Online News and Twitter","SR Ratnasingam - dare.uva.nl",NA,"http://dare.uva.nl/document/544894","http://dare.uva.nl/document/544894"
"Towards a Linguistic Linked Open Data cloud: The Open Linguistics Working Group.","C Chiarcos, S Hellmann, S Nordhoff - TAL, 2011 - academia.edu",2011,"http://www.academia.edu/download/30791787/Chiarcos-TAL52-3.pdf","http://www.academia.edu/download/30791787/Chiarcos-TAL52-3.pdf"
"Researching collocations in another language: Multiple interpretations","A Barfield, H Gyllstad - 2009 - books.google.com",2009,"http://books.google.com/books?hl=en&lr=&id=Fr6GDAAAQBAJ&oi=fnd&pg=PP1&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=LmI7hONLtO&sig=RfM3-WR2y9DX2SI5PAp6FmCUJAs",NA
"Plagiarism in English academic writing: A comparison of Chinese university teachers' and students' understandings and stances","G Hu, J Lei - System, 2016 - Elsevier",2016,"http://www.sciencedirect.com/science/article/pii/S0346251X15001888","https://www.researchgate.net/profile/Guangwei_Hu/publication/289140027_Plagiarism_in_English_academic_writing_A_comparison_of_Chinese_university_teachers'_and_students'_understandings_and_stances/links/575ac04708ae9a9c95518bdc/Plagiarism-in-English-academic-writing-A-comparison-of-Chinese-university-teachers-and-students-understandings-and-stances.pdf"
"Generation of Bilingual Dictionaries using Comparable and Quasi Comparable Corpora","A Dubey - 2015 - web2py.iiit.ac.in",2015,"http://web2py.iiit.ac.in/research_centres/publications/download/mastersthesis.pdf.81a01c8b7ef4aeeb.5468657369735f46696e616c2e706466.pdf","http://web2py.iiit.ac.in/research_centres/publications/download/mastersthesis.pdf.81a01c8b7ef4aeeb.5468657369735f46696e616c2e706466.pdf"
"Managing information disparity in multilingual document collections","K Duh, CMA Yeung, T Iwata, M Nagata - …  on Speech and Language  …, 2013 - dl.acm.org",2013,"http://dl.acm.org/citation.cfm?id=2442077","https://pdfs.semanticscholar.org/9300/cfc0654f9947625cfb149cc7566aa00c65e1.pdf"
"Living language: An introduction to linguistic anthropology","LM Ahearn - 2016 - books.google.com",2016,"http://books.google.com/books?hl=en&lr=&id=bWVJDQAAQBAJ&oi=fnd&pg=PR7&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=jj7xH1t0rI&sig=9933qXr0p_jQG0jZrkqzeX2NPLI","http://www.semesteratsea.org/wp-content/uploads/2012/08/Lefkowitz_ANTH2541_LangArab.pdf"
"The Oxford handbook of applied linguistics","RB Kaplan - 2010 - books.google.com",2010,"http://books.google.com/books?hl=en&lr=&id=MGTiBwAAQBAJ&oi=fnd&pg=PP1&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=ILcYNhnQcF&sig=9BE5CHAuAuNwwDTPWjF8qIfiW3E","http://www.tesl-ej.org/wordpress/issues/volume6/ej23/ej23r3/?wscr"
"Corpus-based interpreting studies (CIS): Overview and prospects","R Setton - Corpus-based translation studies: Research and  …, 2011 - books.google.com",2011,"http://books.google.com/books?hl=en&lr=&id=tnESBwAAQBAJ&oi=fnd&pg=PA33&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=ztln4-Kghn&sig=T1tgfx5AjDcHSV47XyZKXi9sRIU",NA
"First language maintenance and attrition among young Chinese adult immigrants: A multi-case study","M Xie - 2010 - era.library.ualberta.ca",2010,"https://era.library.ualberta.ca/files/tx31qj886","https://era.library.ualberta.ca/files/tx31qj886/Xie_Mianmian_Spring%202010.pdf"
"Crosslinguistic influence in language and cognition","S Jarvis, A Pavlenko - 2008 - books.google.com",2008,"http://books.google.com/books?hl=en&lr=&id=kniRAgAAQBAJ&oi=fnd&pg=PP1&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=gaWJg5KRRF&sig=pWEzvkCtctMniNwp5rKIcu6uViI","http://www.academia.edu/download/37686494/Zabrodskaja.pdf"
"Data acquisition and linguistic resources","S Strassel, C Christianson, J McCary… - … and Machine Translation, 2011 - Springer",2011,"http://www.springerlink.com/index/Q22R7U8VX6709456.pdf",NA
"Information Extraction: Robust Mention Detection Systems","I Zitouni, JF Pitrelli, R Florian - …  Speech and Advanced Natural Language  …, 2013 - Springer",2013,"http://link.springer.com/chapter/10.1007/978-1-4614-6018-3_9",NA
"D3. 2–Second Report on Informative MT","M Negri, M Turchi, P Koehn, C Buck, U Germann - 2014 - matecat.com",2014,"https://www.matecat.com/wp-content/uploads/2014/10/Matecat-D3.2-V1.0.pdf","https://www.matecat.com/wp-content/uploads/2014/10/Matecat-D3.2-V1.0.pdf"
"Deep learning: methods and applications","L Deng, D Yu - Foundations and Trends,2014,"http://ftp.nowpublishers.com/article/Details/SIG-039","http://ftp.nowpublishers.com/article/DownloadSummary/SIG-039"
"Multilingualism, linguistic landscaping and translation of isiXhosa signage at three Western Cape Universities","S Philibane - 2014 - etd.uwc.ac.za",2014,"http://etd.uwc.ac.za/xmlui/handle/11394/4302","http://etd.uwc.ac.za/xmlui/bitstream/handle/11394/4302/philibane_s_ma_arts_2014.pdf?sequence=1"
"Diseño e implementación de una técnica para la detección intrínseca de plagio en documentos digitales","O Gallardo, GI León - 2013 - repositorio.uchile.cl",2013,"http://repositorio.uchile.cl/bitstream/handle/2250/114468/cf-oberreuter_gg.pdf?sequence=1","http://repositorio.uchile.cl/bitstream/handle/2250/114468/cf-oberreuter_gg.pdf?sequence=1"
"Linking textual resources to support information discovery","P Knoth - 2015 - oro.open.ac.uk",2015,"http://oro.open.ac.uk/id/eprint/42677","http://oro.open.ac.uk/42677/1/thesis-pk-with-corrections-v3.pdf"
"Multilingual Access and Services for Digital Collections","J Chen - 2016 - books.google.com",2016,"http://books.google.com/books?hl=en&lr=&id=_CpZCwAAQBAJ&oi=fnd&pg=PP1&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=fCorink1Wy&sig=Feq7XCTGDbwudEZ9RBUvpgrgWOs",NA
"Topic Discovery in Web Collections via Graph Local Clustering","SEG Villarreal, R Brena - …  and Soft Computing Methods for the  …, 2011 - books.google.com",2011,"http://books.google.com/books?hl=en&lr=&id=h-OeBQAAQBAJ&oi=fnd&pg=PA228&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=R07trS6nkt&sig=UcTubAz3Ux9RRj2-5Zpo9dad2zU",NA
"Occurrence of plagiarism in the writing of international graduate business students and its detection by SafeAssign","L Lambert - 2014 - ideals.illinois.edu",2014,"http://www.ideals.illinois.edu/handle/2142/49698","https://www.ideals.illinois.edu/bitstream/handle/2142/49698/Leyla_Lambert.pdf?sequence=1&isAllowed=n"
"Using a multimedia corpus of subtitles in translation training","P Sotelo - Multiple Affordances of Language Corpora for Data- …, 2015 - books.google.com",2015,"http://books.google.com/books?hl=en&lr=&id=1xbyCAAAQBAJ&oi=fnd&pg=PA245&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=sEAjNIgqHI&sig=3tTyy5YRLFHtUSqxjaqM_NDkV0k",NA
"Assessing the Comparability of News Texts.","E Barker, RJ Gaizauskas - LREC, 2012 - mt-archive.info",2012,"http://www.mt-archive.info/LREC-2012-Barker.pdf","http://www.mt-archive.info/LREC-2012-Barker.pdf"
"Ontology and the lexicon: a natural language processing perspective","CR Huang - 2010 - books.google.com",2010,"http://books.google.com/books?hl=en&lr=&id=QCiaQlGY0xMC&oi=fnd&pg=PR11&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=7HgJBTXwsY&sig=wuKY9UwbeAk2-_pn5OljACRLevw",NA
"DISEÑO E IMPLEMENTACIÓN DE UNA TÉCNICA PARA LA DETECCIÓN DE PLAGIO EN DOCUMENTOS DIGITALES","GILO GALLARDO - repositorio.uchile.cl",NA,"http://repositorio.uchile.cl/tesis/uchile/2010/cf-oberreuter_gg/pdfAmont/cf-oberreuter_gg.pdf","http://repositorio.uchile.cl/tesis/uchile/2010/cf-oberreuter_gg/pdfAmont/cf-oberreuter_gg.pdf"
